# Инфляционные ожидания населения на год вперёд (опрос ИнФОМ), медиана, %.
# Источник: ЦБ, «Инфляционные ожидания и потребительские настроения» (PDF),
#   cbr.ru/analytics/dkp/inflationary_expectations/
# flag=seed — ручная транскрипция; дополнять помесячно.
# Сверено 2026-06-23: мар=13,4 апр=12,9 май=13,0 (отчёт Infl_exp_26-05); июнь=12,4 (пресс-релиз ЦБ).
date,value
2026-03-01,13.4
2026-04-01,12.9
2026-05-01,13.0
2026-06-01,12.4
