# Средняя максимальная ставка по вкладам физлиц в топ-10 банках, % годовых.
# Частота — декада (~3 значения в месяц). Источник: ЦБ, cbr.ru/statistics/avgprocstav/
#   (данные отдаются JS-виджетом, не статичной таблицей → для v1 ручной seed).
# Даты — представительные для декады: I≈10-е, II≈20-е, III≈конец месяца.
# flag=seed. Сверено 2026-06-23: ставка по вкладам трекает ключевую ставку вниз.
date,value
2026-02-20,14.26
2026-02-28,14.06
2026-04-20,13.39
2026-06-10,12.97
