# Реальный ВВП России, темп прироста, % г/г (к соответствующему кварталу пред. года). Квартально.
# Источник: Росстат, национальные счета (rosstat.gov.ru/folder/313). flag=seed — верифиц. кварталы.
# Дата = последний месяц квартала (Q1→03, Q2→06, Q3→09, Q4→12).
# Используется для «вменённой инфляции по деньгам» (naive_qtm = M2 г/г − ВВП г/г, V=const).
# Сверено 2026-06-23: Q1-24 +5.4; Q3-25 +0.8; Q4-25 +1.0; Q1-26 −0.2 (первое падение г/г с 2023).
date,value
2024-03-01,5.4
2025-09-01,0.8
2025-12-01,1.0
2026-03-01,-0.2
