# Наблюдаемая инфляция населением (опрос ИнФОМ по заказу ЦБ), медиана, % за предыдущие 12 мес.
# Источник: ЦБ, отчёты «Инфляционные ожидания и потребительские настроения» (PDF),
#   cbr.ru/analytics/dkp/inflationary_expectations/
# flag=seed — ручная транскрипция из PDF/пресс-релизов; дополнять помесячно.
# Сверено 2026-06-23: мар=15,6 апр=14,6 май=15,1 (отчёт Infl_exp_26-05); июнь=14,2 (пресс-релиз ЦБ).
date,value
2026-03-01,15.6
2026-04-01,14.6
2026-05-01,15.1
2026-06-01,14.2
